commit	question_id	verdict	primary_metric	key_finding	scenario_name
1875ccb	Q001	BREAKTHROUGH	0.804	ARC T1/T2/B1/B2 ghost-list eviction + LRU-K K-th access scan-resistance apply directly to Recall Redis hot cache; 4 BREAKTHROUGH ideas, all quality > 0.76	Wave 1 â€” Q001: Database buffer management (ARC/LRU-K/CLOCK-Pro)
1875ccb	Q002	BREAKTHROUGH	0.804	Hippocampal prediction-error gate (novelty check before store) + SWR offline consolidation batch + DG 3-way merge/extend/create; 4 BREAKTHROUGH ideas; top idea quality=0.845	Wave 1 â€” Q001+Q002: DB Buffer Management + Hippocampal Consolidation
1875ccb	Q003	BREAKTHROUGH	0.800	Immunological two-tier SLPC/LLPC expiry (quality=0.888) + competitive pool displacement (quality=0.816); 4 BREAKTHROUGH ideas; competitive displacement is structurally novel vs. all known AI memory systems	Wave 1 â€” Q003: Immunological Memory
1875ccb	Q004	BREAKTHROUGH	0.792	DNS negative-memory-cache (0.833) + stale-serve-with-bounded-latency (0.793) + query-triggered-background-refresh (0.815); 4 BREAKTHROUGH ideas; eliminates Ollama RTT cliff on cache miss	Wave 1 â€” Q004: DNS Resolver Caching
1875ccb	Q005	BREAKTHROUGH	0.792	Scope-chain-memory-retrieval (0.828) solves casaclaude/proxyclaude contamination; define-vs-set mutation semantics (0.818); 5 BREAKTHROUGH ideas; 21 total across Wave 1	Wave 1 â€” Q005: Compiler Scope Chains
1875ccb	Q006	PROMISING	0.785	LangChain does post-ANN temporal re-ranking but uses last_accessed_at (wrong); in-ANN temporal decay absent from all production; key fix: switch to created_at decay; 2 BREAKTHROUGH + 1 INCREMENTAL	Wave 2 â€” Q006: Absence: Temporal-Weighted ANN
1875ccb	Q007	PROMISING	0.779	AWS AgentCore partially implements two-tier consolidation but LLM-driven, not algorithmic; no production system has deterministic non-LLM consolidation + importance-score coupling; 2 BREAKTHROUGH ideas	Wave 2 â€” Q007: Absence: Two-Tier Consolidation
1875ccb	Q008	BREAKTHROUGH	0.779	Embedding whitening (Mahalanobis equivalent) validated in 7+ papers, absent from all production AI memory; recall-embedding-whitening (N=0.85,E=0.75,F=0.80,q=0.803); 3 BREAKTHROUGH ideas	Wave 2 â€” Q008: Absence: Distribution-Aware Retrieval
1875ccb	Q009	PROMISING	0.773	Implicit retrieval feedback absent from all production systems; mem0 has explicit feedback only; citation-detection hook (N=0.82,E=0.70,F=0.78,q=0.768); 1 BREAKTHROUGH idea	Wave 2 â€” Q009: Absence: Retrieval Feedback Loop
1875ccb	Q010	PROMISING	0.773	HippoRAG implements PPR as primary for doc QA but not AI memory systems; Recall Neo4j capped at 0.08 score; PPR-retrieval-for-causal-chains (N=0.75,E=0.80,F=0.55,q=0.718); 2 BREAKTHROUGH ideas	Wave 2 â€” Q010: Absence: Graph-Walk Retrieval
1875ccb	Q001-F1	BREAKTHROUGH	0.781	LSM tiered compaction maps directly to Qdrant cold store; 5 BREAKTHROUGH ideas; ttl-category-session-window-drop (N=0.80,E=0.85,F=0.90,q=0.843) is 2-day implementation; no production AI memory system has semantic compaction layer	Wave 1-F1: LSM-Tree Compaction for Cold Store
1875ccb	Q011	PROMISING	0.781	29.3x gap on cache-miss retrieve path (80.5ms current vs 2.75ms theoretical); Ollama 48ms absolute gap dominates; embedding-vector-cache eliminates Ollama RTT for repeated queries; 1 PROMISING idea	Wave 3 â€” Q011: Physics Ceiling: Retrieve Latency
1875ccb	Q014	BREAKTHROUGH	0.774	Embedding space is anisotropic + queries are speech acts (not statements) + retrieval is associative â€” 3 unjustified assumptions revealed by first-principles derivation; 4 BREAKTHROUGH ideas; power-law temporal reranker implementable in 2-3 days	Wave 4 â€” Q014: Taboo: Retrieval from First Principles
1875ccb	Q015	BREAKTHROUGH	0.759	Static importance violates evidence accumulation principle; lazy geometric decay (scoreÃ—Î»^(Î”t/Ï„)+Î´) in PostgreSQL + Redis fingerprint action signal; 3 BREAKTHROUGH ideas; no new services required	Wave 4 â€” Q015: Taboo: Importance Scoring from First Principles
1875ccb	Q012	BREAKTHROUGH	0.759	24.5x latency gap + 194,586x compute gap on novelty check; embedding reuse eliminates duplicate Ollama call; in-process LSH 625x faster than Qdrant REST; 5 BREAKTHROUGH ideas	Wave 3 â€” Q012: Physics Ceiling: Novelty Detection Compute
1875ccb	Q013	BREAKTHROUGH	0.759	66x storage redundancy; 92% of top-5 retrievals contain paraphrase duplicate; 97.6% of embedding dimensions carry no additional signal; write-time semantic dedup is highest-leverage intervention; 4 BREAKTHROUGH ideas	Wave 3 â€” Q013: Physics Ceiling: Shannon Entropy / Store Redundancy
1875ccb	Q016	BREAKTHROUGH	0.764	Causal relevance is relational (memory-task pair) not intrinsic; importance-score eviction provably wrong; session-retrieval-set-pin (N=0.85,E=0.90,F=0.95,q=0.893) + LRFU retrieval-weighted score; 5 BREAKTHROUGH ideas	Wave 4 â€” Q016: Taboo: Forgetting System from First Principles
1875ccb	Q017	BREAKTHROUGH	0.765	Minimal edge types = CAUSES+CONTRADICTS; causal confidence encoded as edge latency enables shortest-path ranking; generation-clock fixes out-of-order ingestion; 4 BREAKTHROUGH ideas	Wave 4 â€” Q017: Taboo: Causal Memory Data Structure
1875ccb	Q026	BREAKTHROUGH	0.765	False dichotomy resolved: scope identity-check gates before cosine (Phase 1+2); causal ordering is missing third signal; cosine-plus-scope-veto implementable in 2-3 days; 5 BREAKTHROUGH ideas	Wave 1-Mid â€” Q026: Adversarial: Cosine vs Scope Chain Store Discriminant
1875ccb	Q027	BREAKTHROUGH	0.759	Two caches must deploy as pair (p50 only tips at 75% fast fraction); embedding-vector-cache is p95 gate (drops miss path to 31ms, achieves p95<50ms); SimHash negative-cache extends hit rate 40%â†’55-65%; 3 BREAKTHROUGH ideas	Wave 1-Mid â€” Q027: Physics Ceiling: Retrieve with Negative Cache
1875ccb	Q028	BREAKTHROUGH	0.759	Three-layer eviction from first principles: ARC+session-clock ghost (Tier 1), cluster-as-unit session-boundary consolidation (Tier 2â†’3), realized-quality competitive displacement (Tier 3); two-retrieval-promotion-gate (LRU-K=2) prevents scan pollution; 5 BREAKTHROUGH ideas	Wave 1-Mid â€” Q028: Taboo: Three-Layer Integrated Eviction
1875ccb	Q029	PROMISING	0.759	Q003 inversion partially transfers: capacity scarcity weak at K=5 but semantic-precision binding (wasted injection slots) transfers fully; Q015 decay makes inversion automatic; LLPC/MBC dual-path retrieval; 4 BREAKTHROUGH + 1 PROMISING ideas	Wave 1-Mid â€” Q029: Adversarial: Intermediate-Importance Inversion Transfer
1875ccb	Q019	BREAKTHROUGH	0.790	Type-gated dual-representation store (N=0.88, E=0.72, F=0.62): route STRUCTURED_FACT to graph triples, EPISTEMIC_CONTENT to flat blobs; resolves Q026 store-discriminant and Q019 representation choice as the same decision; 4 ideas extracted, top quality 0.790	Wave 5 â€” Q019: Flat Text Blobs vs. Knowledge Graphs
1875ccb	Q018	BREAKTHROUGH	0.750	Cosine wrong in degree not kind â€” captures 1 of 4 signals (semantic only); four-factor-memory-score (q=0.735), query-asymmetric-projection (q=0.645), temporal-dimension-augmentation (q=0.698); 3 BREAKTHROUGH ideas	Wave 5 â€” Q018: Adversarial: Is cosine similarity correct for AI memory retrieval?
1875ccb	Q020	BREAKTHROUGH	0.750	Two-tier session working memory closes one-session-lag; Redis L0 causally ordered, Qdrant L1 cross-session; 4 BREAKTHROUGH ideas; top quality=0.751	Wave 6 â€” Q020: Adversarial: Retrieval-on-demand vs continuous session state
1875ccb	Q021	BREAKTHROUGH	0.750	Dual-scope importance: persistent base_importance + ephemeral session topic_activation; IDF = routing signal not ranking multiplier; 4 BREAKTHROUGH ideas; top quality=0.745	Wave 6 â€” Q021: Adversarial: Per-memory importance vs cluster/topic importance
1875ccb	Q022	BREAKTHROUGH	0.750	2032 retrospective: static write-time importance scores are the worst mistake â€” information-theoretically irreversible if retrieval history not tracked; confirms lazy-decay, SRS-pin, citation-detection, retrieval-weighted eviction; overall quality=0.812	Wave 6 â€” Q022: Time-shifted 2032: worst architectural mistake of 2026
1875ccb	Q023	BREAKTHROUGH	0.750	0.5ms embedding obsoletes 4 architectural constraints (negative cache, LSH, speculative prefetch, embedding reuse); enables multi-space-embedding (q=0.622), semantic-diff-at-store-time (q=0.685), hyde-query-expansion (q=0.626); 4 BREAKTHROUGH ideas	Wave 6 â€” Q023: Time-shifted 2032: constrained-embedding-compute assumptions
1875ccb	Q024	BREAKTHROUGH	0.750	Session-boundary compaction + co-retrieval cohesion gate wins; cosine-only merge has 8-12% false-positive rate; co-retrieval history is critical gate; LLM-driven consolidation lost; 5 BREAKTHROUGH ideas; top quality=0.816	Wave 6 â€” Q024: Time-shifted 2032: winning consolidation mechanism
1875ccb	Q030	PROMISING	0.750	PARTIAL ABSENCE â€” MemoryOS (EMNLP 2025 Oral) closest match with heat-score differentiation but cold store unbounded; no production system has ARC + competitive-pool-displacement cold store; policy-differentiated-tier-cache (q=0.802); 1 BREAKTHROUGH idea	Wave 3-Mid â€” Q030: Absence: Unified multi-layer cache with distinct eviction policies
1875ccb	Q031	BREAKTHROUGH	0.750	IDF (discrimination) and citation feedback (utility) are orthogonal axes; multiplicative composition creates cancellation pathology; IDF = hot-tier promotion trigger not ranking suppressor; 3 BREAKTHROUGH ideas; top quality=0.726	Wave 3-Mid â€” Q031: Adversarial: IDF penalty vs citation feedback compose?
1875ccb	Q032	BREAKTHROUGH	0.750	100x headroom at current load (0.3 stores/sec vs 33 stores/sec saturation); Ollama GPU serial embedding saturates first; 4.6x latency gap (65ms current vs 14ms theoretical); all extracted ideas N<0.65 â€” no new IDEAS entries	Wave 3-Mid â€” Q032: Physics ceiling: store operation throughput
1875ccb	Q033	PROMISING	0.750	PARTIAL ABSENCE â€” LangChain CacheBackedEmbeddings has type-B cache but opt-in/off by default; query embedding stability property (never needs invalidation) not articulated anywhere; expose-stability-property-as-design-principle (q=0.798); 1 BREAKTHROUGH idea	Wave 3-Mid â€” Q033: Absence: Query-embedding cache independent of result cache
1875ccb	Q034	BREAKTHROUGH	0.750	Fused matrix T=Î›_50^(-1/2) V_50^T supersedes standalone whitening + standalone PCA; Q013 cosine threshold shifts 0.92â†’0.82-0.88 after transform â€” must recalibrate empirically; 2 BREAKTHROUGH ideas	Wave 3-Mid â€” Q034: Convergence: whitening + PCA correct composition
1875ccb	Q035	BREAKTHROUGH	0.750	Neither redundant: Q007 = L0 intra-session compaction (unconditional); Q001-F1 = L1 cross-session compaction (score-triggered); Redis staging partitioned recall:staging:{session_id} + recall:staging:global; 3 BREAKTHROUGH ideas; top quality=0.800	Wave 3-Mid â€” Q035: Adversarial: LSM compaction makes session-end consolidation redundant?
1875ccb	Q036	BREAKTHROUGH	0.750	Kafka/Stripe content-derived idempotency key: SHA-256(normalize(content)) + PostgreSQL SELECT FOR UPDATE eliminates cross-machine duplicates within 72h window; Novelty=0.90 â€” absent from all AI memory systems; 3 BREAKTHROUGH ideas; top quality=0.878	Wave 3-Mid â€” Q036: Adjacent: Kafka idempotency for multi-machine write deduplication
d4b8324	Q037	PROMISING	0.757	PARTIAL ABSENCE â€” SPANN/FAISS IVF implement routing half (centroid-in-fast-tier) but no production system co-locates member-ID list in fast tier; manifest stub enables pre-fetch filter before any Qdrant I/O; 2 PROMISING ideas	Wave 5 â€” Q037: Absence: Cluster-Manifest Stub (centroid+member-ID in fast tier)
d4b8324	Q038	BREAKTHROUGH	0.757	Vector clock (2Ã—32-bit) is minimum sufficient state for 2-writer conflict detection; Lamport clock cannot detect concurrent writes; HLC for resolution tiebreaking; 3 BREAKTHROUGH ideas; all quality>0.82	Wave 5 â€” Q038: Physics: Minimum State for 2-Writer Conflict Detection
d4b8324	Q039	PROMISING	0.757	LWW-Register+HLC is correct CRDT for scope-qualified identity registry (N=0.95,E=0.85); Redis Lua CAS atomic compare-and-swap; Q036 and Q039 are complementary layers; 3 ideas extracted	Wave 5 â€” Q039: Adjacent: CRDTs for Concurrent Write Merging
d4b8324	Q040	BREAKTHROUGH	0.757	IPS-corrected citation importance (N=0.90) separates position bias from genuine signal; Îµ=0.05 exploration generates counterfactual data; empirical audit from existing logs is first step; 3 BREAKTHROUGH ideas	Wave 5 â€” Q040: Adversarial: Citation Feedback vs Retrieval-Rank Position Bias
d4b8324	Q041	BREAKTHROUGH	0.751	Three-gate store protocol (G3+G1 concurrent, G2 in embedding gap) implements all three multi-machine write guarantees; 2.1ms total overhead (3.2% of store op); 4 BREAKTHROUGH ideas	Wave 5 â€” Q041: Convergence: Unified Three-Gate Store Protocol
d4b8324	Q042	BREAKTHROUGH	0.757	4-line SQL LLPC routing (access_count>=3 AND sessions_since_last_access<=10) from 2Q+Denning working-set; no importance scores, no embeddings; 5 BREAKTHROUGH ideas; top quality=0.893	Wave 5 â€” Q042: Taboo: LLPC/MBC Routing from Working Set Theory
d4b8324	Q043	PROMISING	0.757	Cohesion computation is NOT a performance problem at 500K (p99=5ms/query, 250ms for 50 archived); precompute for eviction path simplicity not latency; incremental session-end refresh costs 800ms; 1 BREAKTHROUGH idea	Wave 5 â€” Q043: Physics: Cluster Cohesion Ceiling at 500K Scale
d4b8324	Q025	BREAKTHROUGH	0.757	36 ideas pass 90-day filter; 4 chains: Write Integrityâ†’Hot Tierâ†’Retrieval Qualityâ†’Memory Lifecycle; 5 genuine moats (idempotency-keys, working-set-llpc, three-gate-protocol, HLC-LWW, IPS-citation); master insight: 50ms Ollama embedding is universal bottleneck	Wave convergence â€” Q025: Final 90-Day Ranked Build List
d4b8324	Q044	BREAKTHROUGH	0.756	access_count>=3 fails for same-session bursts; fix: distinct_sessions_accessed>=3 (1-2 days); burstiness penalty for LLPC ranking; two-phase probation maps 2Q A1 queue; 3 BREAKTHROUGH ideas	Wave 6 â€” Q044: Adversarial: LLPC admission threshold burst-pattern failure
d4b8324	Q049	BREAKTHROUGH	0.756	CRITICAL DEFECT: session-scope-window-drop creates dangling registry pointers; fix: LIVE->TOMBSTONED transition; re-encounter importance multiplier (1.0+0.15*age); metadata-first GC ordering; 4 ideas extracted	Wave 6 â€” Q049: Adversarial: Scope Registry Dangling Pointer on Session Drop
d4b8324	Q046	BREAKTHROUGH	0.759	Ollama serial embedding dominates at 92.2% (2400ms of 2600ms total); batch embed delivers 80% of 70x gap in 2-4h; epoch-clock eliminates O(N) bulk UPDATE; ceiling at N=517 serial/N=24K batched; 4 BREAKTHROUGH ideas	Wave 6 â€” Q046: Physics: Session-End Pipeline Latency Budget
d4b8324	Q051	BREAKTHROUGH	0.759	Two-phase asyncio plan: Phase1 (Op1+Op3+Op5+Op6 parallel) then Phase2 (Op4+Op2); Op1->Op4 is only hard constraint; reverse-UUID-to-scope index makes Op4 O(N_deleted) not O(N_registry); 3 BREAKTHROUGH ideas	Wave 6 â€” Q051: Convergence: Session-End Hook Sequencing and Parallelization
d4b8324	Q052	PROMISING	0.759	IPS data moat is highest durability (data moats immune to mechanism threats); implicit-retrieval-feedback must start Week 1 not Week 6 (irreversible loss); moat/threat type discrimination framework; 2 PROMISING ideas	Wave 6 â€” Q052: Time-shifted 2027: Five Moat Durability Assessment
d4b8324	Q045	BREAKTHROUGH	0.762	Compiler scope-chain MBC routing via tag intersection + domain zone + frequency fallback; no embeddings; GIN index on tags[]; 50% candidate overlap with full embedding retrieval; 5 qualifying ideas
d4b8324	Q047	PROMISING	0.762	pgvector CTE computes cohesion natively via CROSS JOIN self-join; eliminates 0.3-1.0ms Docker RTT; no production vector DB exposes native cluster-cohesion scoring; pgvector closest path; 2 qualifying ideas
d4b8324	Q048	BREAKTHROUGH	0.762	Redis INCR simpler than HLC for 2-node LAN; CockroachDB backward-jump rule = 5-line Python; omit max-offset enforcement for 2-node system; 3 qualifying ideas
d4b8324	Q050	PROMISING	0.763	Redis ZSET SRANDMEMBER wins over PostgreSQL ORDER BY RANDOM at N>5000; btree importance index + OFFSET pattern flat at 0.80ms; TABLESAMPLE SYSTEM at 0.42ms constant; 2 qualifying ideas (added by linter)
d4b8324	Q053	BREAKTHROUGH	0.763	Session-boundary lifecycle management absent from all production AI memory systems; AWS Bedrock/Google ADK closest but no automatic lifecycle sweep; session-close hook is missing standard primitive; 3 qualifying ideas
d4b8324	Q054	BREAKTHROUGH	0.764	CRITICAL: asyncio two-phase design violates metadata-first ordering; Op1 deletes before Op4 tombstones; Phase 0 pre-tombstone fixes; 3 qualifying ideas
d4b8324	Q056	BREAKTHROUGH	0.764	Redis INCR partition failure: local SQLite buffer+API-assigned sequence at flush eliminates conflict; write-tier-partition-policy separates durable vs ephemeral writes; 4 qualifying ideas
6168356	Q059	PROMISING	0.764	Safe migration sequence for Waves 5-6 fields: tombstone-sentinel-prefix enables rolling deploy; reader-first deploy for Redis value migration; lazy backfill for reverse index; epoch bootstrap at 0; 5 qualifying ideas
6168356	Q055	PROMISING	0.763	K_llpc=2 and K_mbc=3 validated via 2Q Am/A1 derivation; domain-scoped LLPC filter preferred over global threshold; tau=10 correct at 5 sessions/day; 3 qualifying ideas
6168356	Q057	PROMISING	0.763	Neo4j 1-hop causal neighbors as Level 1.5 MBC routing slot; prerequisite: measure tag-disjoint causal pair frequency first; causal-neighbor-as-tag-audit doubles as vocabulary gap detector; 2 qualifying ideas
6168356	Q061	PROMISING	0.763	Tombstone G1 overhead negligible (<0.02ms total); SHA256 passthrough from G3 is key optimization; Redis co-location reduces G1 from 0.5ms to 0.05ms; tombstone-sentinel two-phase HGET not recommended; 3 qualifying ideas
6168356	Q062	BREAKTHROUGH	0.763	Epoch-clock eliminates O(N) Op2 bulk UPDATE entirely; autovacuum visibility map analogy validated; routing query rewrite to last_access_epoch >= current_epoch - tau is semantically identical; 3 qualifying ideas
6168356	Q058	PROMISING	0.762	Exploration events ARE internal ground truth (propensity=epsilon exactly); IPS detectable after ~120 sessions (not Month 3 of 12); variance-aware epsilon decay applicable; 3 qualifying ideas
e19b652	Q060	PROMISING	0.761	Three-target calibration: burstiness=0% (Zipf), L1 hit=27.6% at C=5 (needs V~20 or C~15), recurrence=1.76% (domain-scoped multiplier only); cold-start gap 39pp strongest argument for context_tags persistence	domain-scoped-re-encounter-multiplier,context-tags-size-as-session-quality-signal,hawkes-process-session-model-for-burst-detection,effective-tag-vocabulary-compaction-target
7e37958	Q069	BREAKTHROUGH	0.785	Q059 is complete for Q054+Q056 but omits B-tree index on last_access_epoch required by Q062 (Step 2b gap); single CRITICAL gate: Step 7 tombstone reader before Step 8 writer; Q056 fully independent of all schema steps; 2 qualifying ideas	10-step-deployment-graph,breakthrough-convergence-deployment-sequencing
7e37958	Q065	BREAKTHROUGH	0.761	max(write_importance, eviction_importance) formula wins; write_importance alone loops self-locked for confirmed facts; eviction_importance schema field required pre-deployment	max-operand-re-encounter-formula,eviction-importance-vs-write-importance-schema-distinction
7e37958	Q064	PROMISING	0.761	Redis TTL context_tags persistence (3-day); +21pp net MBC L1 improvement; staleness threshold 3 days; precision cost bounded to first 3-5 prompts of cross-project sessions	redis-ttl-session-tag-persistence,stale-tag-dilution-rate-as-session-health-metric,per-project-tag-partition-for-cross-machine-context
7e37958	Q063	BREAKTHROUGH	0.761	G3 stale-UUID after tombstone: path (a) DEL at Phase 0 is correct; Phase 0 ordering closes TOCTOU window; g3-existence-check as fallback defense	g3-invalidation-at-tombstone-time-phase0,g3-existence-check-on-cache-hit,g3-tombstone-coupling-invariant-check
7e37958	Q066	BREAKTHROUGH	0.761	effective_V must be â‰¤22 for 55-70% MBC L1 target; canonical tag menu in LLM prompt + zero-tag retry; V=45â†’22 gives 1.83x P(L1) improvement	vocabulary-enforcement-at-store-time,zero-tag-detection-and-retry-in-store-hook,llm-tag-prompt-with-canonical-menu
7e37958	Q067	BREAKTHROUGH	0.761	Epoch reset: 0.25ms detection via PG MAX watermark vs 173-day silent false-positive window; B-tree MAX is O(log N)	epoch-continuity-guard-via-pg-max-watermark,pg-max-as-epoch-oracle-fallback
7e37958	Q068	BREAKTHROUGH	0.761	submitted_at flag closes crash-safe dedup race; 7-day discard threshold (preservation SLA â‰  LLPC horizon); 44 lines JS zero new infra	submitted-at-flag-as-crash-safe-dedup,single-file-per-session-pending-queue,data-preservation-vs-retrieval-quality-threshold-split
7e37958	Q069	BREAKTHROUGH	0.761	10-step deployment sequence; single CRITICAL gate at tombstone readerâ†’writer; Q059 missing CREATE INDEX CONCURRENTLY on last_access_epoch	breakthrough-convergence-deployment-graph,index-completeness-audit-for-schema-migration-plans
7e37958	Q070	BREAKTHROUGH	0.761	dual-bound TTL (50-session ceiling + 90-day floor); session-count TTL = 3 calendar days at 10 sessions/day (2-machine); DNS RFC 2308 chose wall-clock in 1998	dual-bound-tombstone-ttl,epoch-clock-calendar-timestamp-hybrid-store,machine-scope-explicit-re-encounter-sharing
7e37958	Q071	BREAKTHROUGH	0.761	4 retrieval-quality signals; 135 lines Python; infrastructure health â‰  retrieval quality health; epoch reset embeds recovery command in response	recall-health-detail-endpoint,epoch-reset-recovery-command-in-response,retrieval-quality-health-vs-infrastructure-health
d3ac25f	Q073	MARGINAL	0.761	Partial index WHERE is_exploration=TRUE bounds retrieve_events index size to 5% of full composite; epsilon=0.05 policy guarantees permanent 225KB ceiling; index-only scans for S1 health signal forever; partitioning never needed at Tim's scale
d3ac25f	Q072	PROMISING	0.761	Tombstone registry ~200-400KB steady state (session-count TTL dominates at 5-10 days); LRU defeat dormant with maxmemory unset; volatile-ttl most dangerous policy; noeviction + PG fallback is correct defense
d3ac25f	Q074	BREAKTHROUGH	0.761	Q067 guard blind to PG-restore direction; redis_epoch-pg_max gap has no natural recovery (worsens monotonically); bidirectional guard + epoch-gap health endpoint + post-restore runbook close the operational gap
d3ac25f	Q075	BREAKTHROUGH	0.760	In-code normalization map creates unbounded split-brain window; PostgreSQL+60s TTL cache reduces to 60s; daily drift detection bounds Phase 1 to 24h; dual-column tags_raw+tags enables migration without LLM re-invocation
d3ac25f	Q076	MARGINAL	0.760	IDF weighting adds 4-6pp over 55.8% cardinality baseline at V=22; stop-tag exclusion captures 80% benefit with no infrastructure; context-tag IDF selection is hook-only change
7fc2de8	Q077	BREAKTHROUGH	0.760	B-tree index on last_access_epoch is shared correctness prerequisite for Q062+Q067+Q071-S4; S2+S3 co-alert indicates CasaOS unavailability not two independent failures; silent-degradation catalog + Day 1 checklist as executable integration test
7fc2de8	Q078	BREAKTHROUGH	0.760	Epoch filter gap in Neo4j causal traversal is critical invariant violation; hub nodes reach 500-1500 fanout by Month 12; causal-graph-epoch-filter-dual-write + LIMIT 20 cap + edge last_reinforced_epoch are 5-line fixes
0d0c5bd	Q081	BREAKTHROUGH	0.760	PG restore + epoch retraction leaves Neo4j nodes with high epoch values passing lower-bound filter; PG ANY() join silently skips missing UUIDs; Q077 runbook missing mandatory Neo4j DETACH DELETE step + upper-bound predicate	post-restore-neo4j-orphan-reconciliation-step,cross-store-consistency-check-endpoint
0d0c5bd	Q079	BREAKTHROUGH	0.760	Single gap threshold cannot distinguish PG-restore from single-machine PG write degradation; dual-signal detection (gap + write_failure_rate) removes ambiguity; EPOCH_GAP_ALARM_THRESHOLD=40 for dual-machine usage	dual-signal-epoch-alarm-distinguisher,uptime-kuma-epoch-continuity-probe
0d0c5bd	Q080	BREAKTHROUGH	0.760	generation-counter pattern reduces synonym rollback latency from 60s to 5s; confirmed flag enables two-tier vocabulary governance; tags_raw enables normalization reprocessing without LLM re-invocation	generation-counter-cache-invalidation-for-incorrect-synonym-rollback,confirmed-flag-on-tag-synonyms-for-auto-detected-entries,tags-raw-as-reprocessing-substrate-for-normalization-correction
0d0c5bd	Q082	BREAKTHROUGH	0.760	No production AI memory system implements multi-layer fallback tag extraction with routing-tier awareness; 20 sessions of zero-tag accumulation drops effective_P(L1) from 55.8% to 49.1%; tiered cascade + retroactive reprocessing queue	tiered-fallback-tag-extraction-cascade,retroactive-reprocessing-queue-for-tag-repair
0d0c5bd	Q083	BREAKTHROUGH	0.760	Epoch filter does NOT reduce Neo4j traversal cost (O(F) property reads regardless); reduces downstream ranking cost only; K limit must be two separate values: K_fanout<=200 for traversal, K_limit=20-50 for ranking	epoch-filter-as-fanout-reducer-not-cost-reducer,neo4j-epoch-predicate-as-working-set-cache-invalidator
0d0c5bd	Q084	PROMISING	0.760	S4+S5 co-alert disambiguates S4 failure direction: Redis reset does not produce S5, PG restore does; correlation layer in /health/detail converts raw signal reporter to diagnostic assistant	s4-direction-discriminant-via-s5-co-alert,correlation-layer-in-health-detail-endpoint
0d0c5bd	Q085	MARGINAL	0.760	Race window = 0.02 memories per 60s; idempotent double-call eliminates race without infrastructure; ETag-based invalidation is architecturally correct but disproportionate at Tim's scale	idempotent-migration-double-call-as-coordination-primitive,etag-based-cache-invalidation-for-normalization-map
f95a41c	Q089	PROMISING	0.759	Tombstone reaper gap: PG hard-deletes run without Neo4j DETACH DELETE; TTL-expiry orphans auto-quarantined by Q078 epoch filter (low epoch) unlike Q081 restore orphans (high epoch, bypass filter); audit instrumentation closes detection gap	tombstone-reaper-dual-store-delete-audit,epoch-filter-as-ttl-orphan-quarantine
f95a41c	Q090	BREAKTHROUGH	0.759	asyncio.wait_for as implicit hub-node classifier (>8ms = hub by definition); page-cache warming converts double-execution from pure cost to amortized cost; session-scoped circuit breaker avoids oscillation in hub-heavy sessions	asyncio-wait-for-as-hub-node-detector,neo4j-page-cache-warming-as-fallback-acceleration,k-cap-policy-as-session-level-not-request-level
f95a41c	Q086	BREAKTHROUGH	0.759	Qdrant is canonical store (no PG join in retrieval path); orphaned Qdrant vectors inject full Memory objects into Claude context (active corruption vs Neo4j silent skip); /reconcile endpoint heals wrong direction after restore; 3 missing runbook steps	qdrant-created-at-epoch-tagging,post-restore-qdrant-cleanup-step,reconcile-endpoint-post-restore-mode
f95a41c	Q087	BREAKTHROUGH	0.759	Injection size is corpus-size invariant above C=200 (K parameters are the only gate); 4200 tokens at K=20, 8700 at K=50; overflow risk is memory-length-driven not corpus-driven; token guard + tiered injection reduce p50 75%	token-count-guard-before-injection,tiered-injection-headlines-then-full,k-adaptive-to-remaining-context-budget
f95a41c	Q091	BREAKTHROUGH	0.759	Relationship property index cannot pre-filter BFS edges (same architecture as Q083 node finding); 15x theoretical gap (1.6ms vs 25ms); only path to pre-filter is relationship type partitioning CO_RETRIEVED_FRESH/STALE; WITH-clause staging saves 35-40% with zero schema changes	co-retrieved-fresh-stale-type-partitioning,cypher-with-clause-edge-predicate-staging,epoch-window-driven-K-cap-relaxation
