commit	question_id	verdict	primary_metric	key_finding	scenario_name
f95a41c	Q092	BREAKTHROUGH	0.759	S5 graph traversal epoch compliance: path-level BFS probe (K=5 seeds, K=10 neighbors); compliance_ratio = (returned - miss) / returned; HEALTHY>=0.95, WARNING[0.85,0.95), CRITICAL<0.85; specifically sensitive to PG-restore orphans (high epoch pass filter) while immune to tombstone orphans (low epoch epoch-filtered); 120-line pure Python /health/detail addition	s5-traversal-path-compliance-vs-population-orphan-count,s4-direction-discriminant-operational-implementation,compliance-ratio-as-retrieval-path-health-proxy
f95a41c	Q088	BREAKTHROUGH	0.759	Q082 drain rate 1/3s saturates GPU at 100% (inference_time==drain_interval); corrected to adaptive two-tier 1/4s idle (75 0PU util) / 1/8s active session (37.5f95a41c	Q092	BREAKTHROUGH	0.759	S5 graph traversal epoch compliance: path-level BFS probe (K=5 seeds, K=10 neighbors); compliance_ratio = (returned - miss) / returned; HEALTHY>=0.95, WARNING[0.85,0.95), CRITICAL<0.85; specifically sensitive to PG-restore orphans (high epoch pass filter) while immune to tombstone orphans (low epoch epoch-filtered); 120-line pure Python /health/detail addition	s5-traversal-path-compliance-vs-population-orphan-count,s4-direction-discriminant-operational-implementation,compliance-ratio-as-retrieval-path-health-proxy
pending	Q099	PROMISING	0.759	READ_COMMITTED provides no race protection for CREATE+DELETE migration; race window = 22-90ms per 800 edges; P(race) ~ 3e-7 for one-time migration; compare-and-swap WHERE clause eliminates race with zero infrastructure cost; stale-classification window without fix = tau_edge sessions (~6 days)	conditional-epoch-recheck-delete-pattern
pending	Q096	BREAKTHROUGH	0.760	Two-pass CREATE-before-DELETE migration with idempotency guards; ~1-2s runtime for 800 edges on CasaOS (WAL-write bound); rollback available until Pass 3; session-end bounded-drift reclassification bounds FRESH chain to one-epoch staleness; fresh-only BFS eliminates edge predicate entirely achieving Q091 15x speedup physics ceiling	co-retrieved-type-migration-idempotent-two-phase,background-reclassification-session-end-bounded-drift,fresh-only-bfs-zero-edge-predicate-overhead
pending	Q093	BREAKTHROUGH	0.759	mode=post_restore branch: backup_timestamp->Qdrant DatetimeRange filter, pg_max_epoch->Neo4j DETACH DELETE batch loop; fully idempotent; partial failure returns status:partial_failure + retry instruction; dry-run count gate detects >10% divergence as secondary inconsistency signal; ~120 lines Python in ops.py	reconcile-post-restore-mode-unified-endpoint,retry-to-completion-atomicity-for-non-transactional-cleanup,dry-run-count-before-commit-as-restore-verification-gate
pending	Q098	BREAKTHROUGH	0.759	S5 CRITICAL auto-degrades to vector_only Redis flag (2h TTL) stopping orphan injection immediately; pre-cleanup Qdrant snapshot converts irreversible delete to recoverable-in-30s; Discord payload dynamically adapts go/no-go options based on S4 co-alert direction; post-cleanup verification via S5 re-probe + count divergence check	s5-critical-auto-graceful-degradation,pre-cleanup-qdrant-snapshot-as-rollback-checkpoint,discord-decision-payload-with-s4-direction-pivot,automated-rollback-detectability-via-qdrant-neo4j-divergence
pending	Q095	BREAKTHROUGH	0.760	Q088 3s estimate conservative by ~2x; roofline: prefill 262ms + decode 378ms = 640ms floor; warm P50=1.36s; safe drain 1.8s idle/3.6s active (not 4s/8s); concurrent 2-req latency only 4% higher (KV 1.1% of bandwidth in GQA); calibrate_inference_latency() at startup eliminates hardcoded estimates	inference-time-aware-drain-rate-recalibration,kv-cache-negligibility-enables-aggressive-parallelism
pending	Q100	BREAKTHROUGH	0.760	Qdrant uses deferred full rebuild (not incremental); R@10 drops below 0.90 at 15% deletion (before 20% default optimizer trigger); at 28% deletion R@10=0.73 (2-3 wrong memories per LLPC call); optimize_collection mandatory before re-enabling writes; ANN canary test with known-UUID seeds verifies restoration; Steps 5+7 absent from all prior runbooks	qdrant-optimizer-threshold-tuning,post-delete-optimize-chaining,ann-recall-canary-test
pending	Q097	BREAKTHROUGH	0.760	Diminishing returns at K=38 (99.2% coverage, 2030 tokens); f_LLPC=0.30 at K=100 exceeds 10K budget (11585 tokens); 5x L_avg growth increases tiered injection only 1.7x vs untiered 4.5x; N_full=3 optimal by R/T criterion; p95 at K=50=3576 tokens well within budget	diminishing-returns-K-ceiling-at-38,f-LLPC-budget-monitor-as-first-class-signal,l-avg-invariant-headline-tier-as-memory-growth-buffer
pending	Q094	BREAKTHROUGH	0.760	Hub nodes emerge at Month 9; P(CB opens per session) = 1.9% at Month 12, 5.1% at Month 24; expected missed memories when CB open = 0.21/session; page-cache warming reduces K=20 fallback to 1.1ms; predictive trigger at max_fanout>158 prevents CB activation entirely; S6 health signal	hub-node-emergence-epoch-trigger,cb-open-probability-as-graph-health-signal,tiered-k-session-warmup-decay
HEAD	Q103	BREAKTHROUGH	0.760	typed-post-delete-optimize-gate: BulkOptimizeResult async fn with per-step timeouts; canary-seed-stable-uuid-registry in Redis; three-status /health/recall-quality endpoint	bulk-delete-and-optimize-implementation
HEAD	Q104	BREAKTHROUGH	0.760	drift-fraction-as-primary-health-metric: S7 stale_classified_as_fresh/total_fresh fires at 0.15 (~session 5); node-epoch-filter-as-natural-backstop provides Phase 2 self-healing	fresh-chain-reclassification-failure-mode
HEAD	Q102	BREAKTHROUGH	0.760	live-fanout-scan-as-deployment-clock: max_fanout as deployment clock; Q094 Month 9 hub emergence CONFIRMED (analytical Month 8.26, 8.2% error); S6 WARNING at max_fanout=100 provides 1.9-month lead time	hub-degree-distribution-analytical-model
HEAD	Q105	BREAKTHROUGH	0.760	unified-post-restore-runbook-as-executable-spec: 10-step operator runbook synthesizing Q077/Q081/Q086/Q093/Q098/Q100; 8-12 min recovery time; 3 mandatory go/no-go gates	unified-post-restore-runbook
HEAD	Q106	BREAKTHROUGH	0.760	retrieve-path-epoch-sanity-guard: inline PG epoch check closes TOCTOU race; S4=CRITICAL+S5=HEALTHY fingerprints Redis restart with data loss; epoch-zero-bootstrap-trap-detection zero-false-positive guard	redis-epoch-reset-ghost-resurrection
HEAD	Q101	BREAKTHROUGH	0.760	s5-tombstone-exclusion-cypher-fix: AND n.is_tombstoned IS NULL eliminates 19900x FP rate (code defect in Q092); S5 CRITICAL false-positive rate 2.94e-13/probe; WARNING 82% false alarm rate in 30 days without fix	s5-false-positive-calibration
HEAD	Q109	BREAKTHROUGH	0.761	relationship-type-as-tenant-partition: four-type Neo4j schema TIM/SADIE×FRESH/STALE; separate-qdrant-collections-as-hnsw-isolation: payload filter insufficient at HNSW construction time; independent-epoch-clocks-per-tenant	multi-tenant-recall-sadie-architecture
HEAD	Q108	BREAKTHROUGH	0.761	postgres-co-retrievals-neo4j-replacement: PG CTE viable through 50k edges; pg-partial-index-as-structural-prefilter replicates Q091 type-chain; upsert-replaces-create-delete-type-migration eliminates Q096+Q099 races; pg-hub-limit-replaces-circuit-breaker	pgvector-neo4j-replacement-cte-architecture
HEAD	Q107	BREAKTHROUGH	0.761	P50=4.99ms (3.30ms cached); Neo4j BFS dominant at 2.20ms (1700x physics floor); eager-session-context-embedding-cache saves 34%; pgvector-self-join-eliminates-neo4j-jvm-overhead 3.7x speedup; retrieval-pipeline-roofline-as-slo-instrument	full-llpc-pipeline-roofline
HEAD	Q110	BREAKTHROUGH	0.762	jaccard-gate-schema-migration: Jaccard overlap of top-10 BFS as migration acceptance gate (threshold 0.80); pg-degree-scan-s6-replacement: S6 health signal via PostgreSQL GROUP BY on co_retrievals; partial-index-orphan-detection: set difference orphan detection during migration	neo4j-postgresql-migration-execution-plan
HEAD	Q111	BREAKTHROUGH	0.762	epoch-guard-non-fatal-wrapper-pattern: guards must never guard-fail; tolerance-calibration-by-topology: EPOCH_RESET_TOLERANCE=5 for single-instance (not 50); aof-health-check-at-lifespan-not-probe: startup check not health probe; greenfield-epoch-requires-migration-gate: DDL before code deploy	epoch-guard-aof-deployment-checklist
HEAD	Q112	BREAKTHROUGH	0.762	qdrant-alias-atomic-rename: Qdrant alias switch is instantaneous atomic metadata op; migration-before-code-deployment-ordering: DDL first code second; redis-rename-config-last-ordering: 3-phase RENAME preventing silent epoch reset; concurrently-index-operations-for-live-migrations: zero-downtime index swap	online-tenant-id-migration-procedure
HEAD	Q113	BREAKTHROUGH	0.762	tombstone-guard-completeness-checklist: Q101 fix was incomplete (missed seed selection clause); two-tier-tombstone-semantics: retrieval/monitoring=exclude; cleanup/reconcile=include; seed-contamination-cascade-amplifier: tombstoned seed cascades through all K neighbors; reconcile-as-tombstone-safety-net	tombstone-leak-audit-all-cypher-paths
HEAD	Q114	BREAKTHROUGH	0.762	signal-orthogonality-documentation-in-health-api: measures + does_not_measure fields per signal; s5-s7-co-alert-retrieval-quality-degraded-data-intact: new co-alert rule; composite-retrieval-health-scalar: compliance_ratio Ã— (1-drift_fraction); tau-tau-edge-safety-gap-design-principle; s7-threshold-tightening-to-early-warning	s7-s5-silent-co-failure-interaction
HEAD	Q115	BREAKTHROUGH	0.762	three-store-stack-collapse: Neo4j eliminated 5â†’3 stores (PG+Qdrant+Redis), 4.7-6.5GB RAM freed; s5-structural-elimination: epoch compliance becomes query planner constraint not monitored signal; circuit-breaker-free-hub-protection: CTE LIMIT 50 replaces Markov state machine; neo4j-jvm-ram-dividend: PG shared_buffers to 1GB	three-store-architecture-collapse
HEAD	Q116	BREAKTHROUGH	0.762	content-hash-embedding-cache-determinism: qwen3-embedding:0.6b deterministic, SHA-256(query) is correct key not TTL; model-version-prefix-auto-invalidation: model upgrade auto-rotates cache keys; embedding-cache-warmup-on-session-start: 5-10 predicted queries prewarmed at session init; binary-embedding-redis-storage: struct.pack 6.1KB vs JSON 16.7KB	embedding-cache-staleness-boundary
HEAD	Q117	BREAKTHROUGH	0.762	s4-s5-co-alert-subtype-discriminant: S4=CRITICAL+S5=HEALTHY = Redis epoch loss ONLY (FM1/FM5/FM8); neo4j-data-loss-signal-gap-detector: new matrix row for Neo4j wipe via Q084 gap (S4 HEALTHY+S5 CRITICAL+neo4j_count<100); s4-direction-guard-correctness-fix: signal_definition field in /health/detail S4 response	s4-s5-co-alert-diagnostic-matrix-calibration
HEAD	Q118	BREAKTHROUGH	0.762	canary-payload-flag-deletion-exclusion: is_canary:true payload flag + deletion exclusion in all prune paths; canary-ef-search-split: ef_search=64 retrieval / ef_search=200 canary probes; canary-corpus-size-scaling-trigger: N=5,000 scaling threshold, cap 10-50 canaries; canary-redis-persistence-guarantee: PostgreSQL canary_seeds table as authoritative source	canary-seed-survivability-analysis
HEAD	Q119	BREAKTHROUGH	0.762	three-store-runbook-with-pg-as-authority: PG is authoritative, Qdrant is rebuildable cache; qdrant-re-embed-from-pg-recovery: iterate PG rows, Ollama batch embed, bulk upsert ~72s recovery	three-store-operational-runbook
HEAD	Q120	BREAKTHROUGH	0.762	epoch-write-guard-pre-embedding-placement: O(1) Redis GET before 20-150ms Ollama; guard-fatal-on-write-nonfatal-on-read: asymmetric write/read guard severity; batch-ceiling-cached-epoch-pattern: fetch epoch once before item loop; force-epoch-flag-requires-auth-coupling: bypass requires stronger auth	fm3-epoch-write-ceiling-guard
HEAD	Q121	BREAKTHROUGH	0.762	layered-deduplication-by-threshold-confidence: 0.99/0.95-0.99/compaction three tiers; co-retrieval-edge-re-attribution-on-merge: reroute loser edges to winner (not count-fold); query-time-virtual-merge-for-deduplication: ephemeral top-K collapse without store modification	memory-deduplication-adversarial-analysis
HEAD	Q122	NEGATIVE	0.762	epoch-deployment-precondition-audit: three conditions must be true simultaneously before epoch activation; wall-clock-epoch-magnitude-reference: int(time.time())â‰ˆ1.74B vs epochâ‰ˆ850, ratio 2M:1, total corpus wipe	fm3-epoch-write-risk-audit
HEAD	Q123	BREAKTHROUGH	0.762	volatile-lru-as-key-protection-mechanism: no-TTL keys immune to eviction structurally; maxmemory-as-oom-kill-prevention: 100mb limit prevents kernel OOM-kill on 256MB container; redis-keyspace-four-tier-criticality-model: permanent/session/cache/transient classification	redis-maxmemory-eviction-configuration
HEAD	Q124	BREAKTHROUGH	0.762	sql-tombstone-guard-as-view: live_memories VIEW makes guard structural; tombstone-guard-ast-grep-linter: CI lint detects SQL referencing memories without is_deleted guard	tombstone-regression-test-suite
HEAD	Q125	BREAKTHROUGH	0.762	s5-redefine-qdrant-pg-orphan-fraction: S5 becomes Qdrant-PG orphan fraction (HEALTHY<1% WARNING<5% CRITICAL>5%); s4-s5new-direction-discriminant-preserved: cleaner PG/Redis failure discriminant; pg-authoritative-reconciliation-endpoint: auto-triggered on S5-only CRITICAL	revised-five-signal-health-spec
HEAD	Q126	BREAKTHROUGH	0.762	co-retrievals-fire-and-forget-async: asyncio.ensure_future removes 5-12ms from hot path; synchronous-commit-off-for-co-retrievals: eliminates WAL fsync for reinforcement signal writes; 500ms SLA has 24-52x headroom	write-path-latency-roofline
HEAD	Q128	BREAKTHROUGH	0.762	wave14-deployment-total-time-estimate: 3h45m total, single critical STOP gate at Step 22 BFS Jaccard; ddl-code-rename-atomic-deployment-sequence: DDLâ†’dual-writeâ†’atomic-code-deployâ†’RENAME four-phase ordering	unified-saturday-deployment-checklist
HEAD	Q129	BREAKTHROUGH	0.762	outbox-for-co-retrievals-steady-state: co_retrievals_outbox in same transaction, 5s flush background task; wal-q112-boundary-clarification: WAL scope is steady-state PG failures NOT migration window	wal-patterns-for-co-retrievals-durability
HEAD	Q127	BREAKTHROUGH	0.763	sentinel-token-gap-restoration: 7/10 seeds HIGH RISK at 22349-vector corpus, SYSREC-PROBE-v1 tokens restore gap to 0.10-0.18; composite-score-inversion-risk: CANARY_004/005 negative composite gaps (-0.0006/-0.0075) make rank-1 check insufficient; corpus-size-displacement-validation: empirically confirms Q118 model at 62x scale	canary-similarity-gap-calibration
HEAD	Q130	BREAKTHROUGH	0.765	outbox-restart-survives-pg-wal: PG-hosted outbox inherits WAL durability survives FastAPI restart; fixed-poll-over-exponential-backoff-at-low-rate: fixed 5s poll superior to exponential at 15 events/day; null-epoch-graceful-upsert: COALESCE epoch=NULL preserves edge without corrupting last_reinforced_epoch	co-retrievals-outbox-implementation-spec
HEAD	Q131	INCREMENTAL	0.765	markov-graph-redis-memory-audit: 1365 no-TTL keys unmodeled in Q123 require health ceiling; write-guard-size-tracking: 165KB write_guard key grows with corpus needs MEMORY USAGE tracking; live Redis 2.76MB vs Q123 10-12MB prediction; maxmemory=0 not applied	redis-memory-footprint-22k-scale
HEAD	Q133	INCREMENTAL	0.765	qdrant-snapshot-for-collection-copy: snapshot API reduces Phase 5 copy 7-15min to 2-5min restoring buffer; concurrent-reembed-recovery-script: asyncio.Semaphore(10) cuts 74.5min recovery to 7.5min (62x Q119 underestimate); Saturday deployment 3h55min fits 4h window	saturday-deployment-recalibrated-22k
HEAD	Q134	BREAKTHROUGH	0.765	dual-path-health-architecture: infrastructure_check (raw ANN) + retrieval_quality_check (composite oracle) as orthogonal sub-signals; oracle-memory-probe-design: high-importance oracle memories complement importance=0 canary seeds; importance-score-path-annotation-in-health-response: scoring_path annotation surfaces Thread B gap immediately	canary-importance-score-adversarial
HEAD	Q136	INCREMENTAL	0.765	co-retrievals-outbox-migration-over-create-tables: _MIGRATE_CO_RETRIEVALS_OUTBOX not _CREATE_TABLES is correct pattern for live DB; outbox-health-dedicated-endpoint-over-inline-query: NameError bug in Q130 S8 spec requires dedicated endpoint; asyncio-create-task-over-ensure-future: deprecated ensure_future corrected	co-retrievals-outbox-integration-verification
HEAD	Q138	BREAKTHROUGH	0.765	endpoint-nonexistence-vs-false-positive: /health/recall-quality does not exist at all (missing not broken); retrieval-quality-proxy-gap: injection frequency proxy blind to HNSW degradation; uninitialized-vs-degraded-status-distinction: 0/0 false-positive guard requires UNINITIALIZED status	health-check-false-positive-missing-seeds
HEAD	Q139	INCREMENTAL	0.765	ef-search-auto-scaling: corpus-size milestone trigger adds closed-form P_miss check at 10K/25K/50K/100K; ef-search-vs-latency-pareto-dashboard: /diagnostics/hnsw-pareto analytical tradeoff curve; R@1 at 22K ef=64: 0.946-0.967 at design margin; ef=128 future-proofs to N~80K	ef-search-adequacy-22k-vectors
HEAD	Q132	BREAKTHROUGH	0.767	s5-spec-correction-neo4j-denominator: PG has no memories table; S5_new must compare Qdrant vs Neo4j not Qdrant vs PG; qdrant-first-deletion-ordering-as-safety-property: accidental safety property (Neo4j orphans safer than Qdrant orphans); pg-is-not-a-memory-store-correction: invalidates Q084/Q086/Q115/Q125 PG memories references; s5-health-endpoint-gap: 4-line addition to health endpoint	s5-orphan-fraction-baseline-qdrant-neo4j-correction
HEAD	Q135	BREAKTHROUGH	0.767	scroll-page-size-tuning-3x-speedup: limit=3000 reduces 23 pages to 8 pages (64ms->14ms); parallel-pg-scan-with-qdrant-scroll: asyncio.gather eliminates sequential dependency (20-25ms); precise-scan-as-primary-not-approximation: fast approximation has systematic false-negative for crossed-wire failures; N_max at 500ms: 194K (current) or 4.6M (optimal)	s5-orphan-scan-physics-ceiling-22k
HEAD	Q137	BREAKTHROUGH	0.767	k-parameterized-pair-capture-replaces-static-cap: K=10 gives 45 pairs (cap never triggered at K=10; 86% signal loss at K=38); hot-update-fillfactor-70-is-load-bearing-not-optional: HOT updates require fillfactor=70, not cosmetic DDL; k10-corpus-cardinality-ceiling-is-natural-cap: C(10,2)=45 max pairs per retrieve; fire-and-forget confirmed correct at 0.026 writes/s	k10-correction-co-retrievals-write-pressure
HEAD	Q140	BREAKTHROUGH	0.767	unified-write-durability-tier-model: 8 write types classified into 3 tiers; memory-store-outbox-for-w1-durability-inversion-fix: W2 outbox protects lower-tier than W1 (inversion); session-summary-as-highest-priority-gap: Tier A no outbox ~11 losses/year; q129-q056-coverage-completeness-assessment: only 2 of 8 write types adequately covered	write-durability-tier-model-unified
HEAD	Q141	BREAKTHROUGH	0.767	sha256-write-time-exact-dedup: Layer 0 before embedding saves 100-300ms per exact dup; simhash-syntactic-near-duplicate-write-guard: 64-bit fingerprint k=2-3 Hamming catches near-dups pre-embedding; minhash-compaction-pass-replacement: O(n) vs O(n^2) for compaction at 22K+	cas-near-duplicate-detection-architecture
HEAD	Q145	OPEN_GAP	0.767	health-orphan-fraction-field: /health has counts as integers internally but formats to strings â€” orphan fraction never computed; reconcile.py has the logic but not /health; 30-min fix adds structured store_sync field	s5-orphan-fraction-health-field-absence
HEAD	Q147	CONTENT_ADDRESSED	0.767	verify-content-hash-qdrant-payload-index: SHA-256 dedup already implemented (embeddings.py + memory.py find_by_content_hash); Qdrant payload index existence needs verification; content-hash-cross-machine-coverage-confirmed: Q141 Layer 0 already deployed	q036-idempotency-key-content-hash-calibration
HEAD	Q149	MIXED	0.767	reconciler-background-task-for-double-fault-orphans: single-fault has compensating delete; double-fault creates ghost Qdrant orphan; write-ahead-log-in-redis: Redis PENDING set before store; neo4j-first-qdrant-last-write-ordering: swap write order to downgrade double-fault to silent miss	post-memory-store-write-ordering-invariants
HEAD	Q153	UNDOCUMENTED	0.767	add-ordering-invariant-comment: Qdrant-first delete undocumented; gc.py uses opposite order with explanation â€” two orderings visible with only one explained; three-line comment fix under 5 minutes	qdrant-first-deletion-ordering-documentation-absence
HEAD	Q142	BREAKTHROUGH	0.768	SQLite local pending-summaries queue: 80-line JS spec, write-then-send pattern, no-retry-cap, session-id dedup	sqlite-queue-for-stop-hook-writes
HEAD	Q143	BREAKTHROUGH	0.768	co_retrievals table ABSENT from deployed PG â€” 6+ months of reinforcement signal silently discarded	co-retrievals-single-migration-deploy-path
HEAD	Q146	BREAKTHROUGH	0.768	SimHash k=8 optimal for Recall corpus; catches cosine>=0.949 vs k=3's 0.994; FPR negligible at 22K scale	simhash-k8-write-guard
HEAD	Q148	BREAKTHROUGH	0.768	Oracle memory spec complete: oracle-registry-in-redis, asyncio.gather parallel queries, displacement alert field	oracle-registry-in-redis
HEAD	Q152	BREAKTHROUGH	0.768	SimHash break-even D_near>=0.5%; Redis fingerprint store 6.7MB overhead, ~1ms lookup, net-positive above threshold	redis-simhash-fingerprint-store
HEAD	Q144	BREAKTHROUGH	0.768	ef-per-query-override: per-request hnsw_ef in SearchParams enables A/B ef=64 vs ef=128; SSH tunnel for PATCH /collections/recall_memories	ef-per-query-override
HEAD	Q150	BREAKTHROUGH	0.768	ARQ cron already fires weekly; gap is Redis probe cache write in worker + s5 field in /health â€” 60 lines 4 files	reconcile-probe-redis-cache
HEAD	Q151	PROMISING	0.768	session_archive unbounded (no retention policy); audit_log 400K rows is real risk; no ghost memory refs (aggregate counters only)	audit-log-retention-policy
HEAD	Q154	BREAKTHROUGH	0.768	Qdrant payload field: zero new tables, mirrors content_hash pattern, integer index for Hamming bands, ~30s backfill at 500/batch	simhash-qdrant-payload-storage
HEAD	Q157	BREAKTHROUGH	0.768	Double-fault orphans PROMOTED not deleted: reconcile.py creates Neo4j node for qdrant_orphans; 7-day ANN injection window; permanent post-reconcile	write-pending-registry-for-double-fault
HEAD	Q164	BREAKTHROUGH	0.768	Deployment order: Q144(atomic,30s) -> Q150(atomic,5min) -> Q156(staged,5min) -> Q148(staged,2-step); no hard inter-change deps; total ~1h window	combined-restart-for-Q150-Q156
HEAD	Q155	BREAKTHROUGH	0.768	Complete SimHash write-path spec: simhash() fn, 9 Qdrant payload fields (full+8 bands), find_by_simhash_bands(), memory.py short-circuit; no new deps	simhash-9-field-band-storage-in-qdrant
HEAD	Q156	BREAKTHROUGH	0.768	co_retrievals deployment = 2 Python lines: add _MIGRATE_CO_RETRIEVALS_OUTBOX constant + connect() call; fillfactor=70 is Step 4 post-creation; outbox tables before flush worker	co-retrievals-migration-is-two-lines
HEAD	Q158	BREAKTHROUGH	0.768	Oracle seed runbook: 5 curl commands â†’ capture UUIDs â†’ docker exec recall-redis redis-cli SET recall:oracle:registry; no admin API for arbitrary Redis writes	oracle-seed-no-admin-redis-api
HEAD	Q159	PROMISING	0.768	ef=128 P95 Qdrant latency ~10ms vs 100ms budget (90% headroom); dominant oracle check cost is Ollama embedding (80-150ms), not HNSW depth	embed-query-cache-for-health-check
HEAD	Q160	SCRIPT_READY	0.768	D_near(k=8) theoretical: 0.3-0.8% straddles 0.49% Redis break-even; calibration script production-ready; must run on CasaOS before implementing SimHash	simhash-empirical-before-ship
HEAD	Q161	PROMISING	0.768	BRIN index for monotonic audit_log timestamp (1/1000th BTREE size); scheduled DELETE retention 90 days; feedback_summary pre-aggregation before DELETE	arq-audit-log-retention-worker
HEAD	Q162	BREAKTHROUGH	0.768	TRUE ABSENCE confirmed: zero DELETE/TRUNCATE touching audit_log anywhere in codebase; dual-role tension (ops audit + ML training) explains gap	audit-log-retention-gc-extension
HEAD	Q165	BREAKTHROUGH	0.768	Oracle health check SLA breaks at P99 under GPU contention: 5Ã—600ms embedding=3000ms before ANN starts; fix: pre-store oracle query vectors in Redis, bypass Ollama	oracle-query-vector-seed
HEAD	Q163	SPECULATIVE	0.768	co_retrievals table alone produces ZERO dashboard change: write path and read path decoupled; N=22K sparsity means ordering improvement requires ~178K edges (2.4 years at mid scenario); bootstrap K-means cluster init is the 2032 solution	two-stage-deployment-required
HEAD	Q166	CONFIRMED_ABSENCE	0.769	CO_RETRIEVED edge type absent from entire codebase (0 matches on CO_RETRIEVED, co_retrievals_outbox in all .py); health.py co_retrieval_gravity reads RELATED_TO not co_retrievals table; flush worker + health.py patch are paired requirement	co-retrieved-flush-worker
HEAD	Q169	CONFIRMED_ABSENCE	0.769	injection_log (100-300 rows/day) + metrics_snapshot (24/day) + 5 more tables all have zero retention; same structural gap as audit_log; unified 7-table retention worker eliminates entire PostgreSQL log tier in one commit	unified-log-retention-worker
HEAD	Q175	CONFIRMED_ABSENCE	0.769	simhash string has zero occurrences in entire Recall repo; qdrant.py store() writes 20 payload fields, none simhash-related; calibration script Q160 also never created; performance optimization not a latency bug	simhash-read-path-implementation
HEAD	Q171	BREAKTHROUGH	0.771	Oracle cold-start: AOF survives container restart not FLUSHALL; nil registry â†’ false UNHEALTHY without guard; auto-recovery from Qdrant oracle+health-check tag scroll eliminates manual redis-cli SET step	oracle-registry-qdrant-autorecovery
HEAD	Q172	PHYSICS_CONFIRMED	0.771	K-means physics floor 0.844s (92.54 GFLOP); Neo4j writes dominate (7-42 min vs 4-5s clustering); K<158 requires multi-batch per cluster; K=200 safe at 10K batch limit; 4-worker parallel write = 1.7 min	neo4j-parallel-cluster-writers
HEAD	Q177	CONFIRMED_SAFE	0.771	Premise invalidation: get_positive_feedback_counts() does not exist; actual function is health dashboard only (10-min Redis cache); MVCC guarantees DELETE+SELECT compatible; batched DELETE correct for autovacuum I/O budget	premise-invalidation-via-call-graph-tracing
78e4dec	Q167	BREAKTHROUGH	0.771	co_retrievals flush worker: health.py blind to CO_RETRIEVED edges (filter excludes type); SKIP LOCKED enables safe multi-worker scale-out; session per cycle not from ARQ ctx; 15-min cron cadence absorbs 12.5h ingest burst before backlog	co-retrieved-gravity-blind-until-health-filter-patched
78e4dec	Q168	BREAKTHROUGH	0.771	audit_log retention: feedback_summary pre-aggregation mandatory before DELETE (6+ unbounded feedback scans); BRIN replaces B-tree on timestamp; batched 10K-row CTE loop handles 220K first-run surplus in ~1s; 6:15am daily cron slot	audit-log-retention-feedback-summary-required
78e4dec	Q176	BREAKTHROUGH	0.771	SimHash L1 read path: 6-unit complete spec; Qdrant scroll OR filter across 8 band fields; hamming_distance via int.bit_count(); L1 inserts at memory.py:192 before Ollama embed(); backfill script ~5s for 22K points; no dedup for episodic/session_summary types	simhash-l1-read-path-complete-spec
ac131be	Q170	BREAKTHROUGH	0.772	Bootstrap K=200 K-means: 1.25M CO_RETRIEVED edges in ~2-3 min on N100; 7x active-pool density threshold; seed=0.1 (structural prior); 4-worker ThreadPoolExecutor; MERGE idempotent; must complete before ARQ worker activated	bootstrap-co-retrieved-seeds-7x-density-threshold
ac131be	Q173	CONVERGENCE_CONFIRMED	0.772	Wave 19 safe in single restart: Q167+Q168+Q170 collapse into Q164 window; BRIN creation 100ms ShareLock; Q170 last (after worker healthy); 65-75 min total for all 7 changes; unified git commit enables atomic rollback	wave19-deployment-safe-in-single-restart-65min
ac131be	Q174	PROMISING	0.772	Bootstrap Tier 2 hybrid edges (20-25ac131be	Q173	CONVERGENCE_CONFIRMED	0.772	Wave 19 safe in single restart: Q167+Q168+Q170 collapse into Q164 window; BRIN creation 100ms ShareLock; Q170 last; 65-75 min total for all 7 changes; unified git commit enables atomic rollback	wave19-deployment-safe-in-single-restart-65min
ac131be	Q174	PROMISING	0.772	Bootstrap Tier 2 hybrid edges highest-precision in graph; 870K cold-tier freeze at 0.1 without decay; corpus-avg gravity 0.18-0.28 vs no-bootstrap 0.003-0.008; payoff window 18-24 months	bootstrap-tier2-hybrid-edges-highest-precision
