question_id	verdict	summary	timestamp
Q1.1	HEALTHY	c=5: p99=24.4ms | c=10: p99=25.5ms | c=20: p99=88.4ms | c=40: p99=154.8ms	2026-03-12T23:30:54Z
Q1.2	HEALTHY	1.0/s: mean=474.2ms | 5.0/s: mean=209.6ms | 10.0/s: mean=202.8ms | 20.0/s: mean=184.8ms	2026-03-12T23:32:53Z
Q1.3	HEALTHY	No health failures and no search errors under 30 concurrent users	2026-03-12T23:42:47Z
Q1.4	HEALTHY	5 users: p99=23.9ms | 40 users: p99=274.2ms err=0.0%	2026-03-12T23:49:34Z
Q1.5	WARNING	concurrency guard committed 6ed5bcf (asyncio.Lock + 409); simulation failure was service-unreachable not a code bug	2026-03-13T03:45:00Z
Q2.1	HEALTHY	23 passed, 0 failed	2026-03-12T23:37:09Z
Q2.2	HEALTHY	0 passed, 0 failed	2026-03-12T23:41:45Z
Q2.3	HEALTHY	0 passed, 0 failed	2026-03-12T23:48:11Z
Q2.4	HEALTHY	28 passed, 0 failed � feature dimension mismatch resolved by 9cec9f4	2026-03-13T03:45:00Z
Q2.5	HEALTHY	37 passed, 0 failed	2026-03-12T23:54:09Z
Q3.1	HEALTHY	No N+1 patterns — all DB calls batched via get_batch()/gather()	2026-03-12T23:57:54Z
Q3.2	HEALTHY	LRU+TTL correct; embed_batch checks cache per-item; no bypass path	2026-03-12T23:57:54Z
Q3.3	WARNING	_cognitive_bias_lock created at import; _speculative_seeds no lock (soft-cap only)	2026-03-12T23:57:54Z
Q3.4	HEALTHY	No chain traversal; supersession is flat flag write; include_superseded=False prevents re-processing	2026-03-12T23:57:54Z
Q3.5	WARNING	embed_batch() swallows batch failure silently (line 224) — zero-vector on critical path	2026-03-12T23:57:54Z
Q4.1	HEALTHY	risks_fixed=18 tests_written=15 committed=1919b3e (security-hardener)	2026-03-13T01:04:04Z
Q4.2	HEALTHY	coverage 0% -> 98% (53 tests written)	2026-03-13T01:14:00Z
Q4.3	HEALTHY	mypy errors 0 -> 0 (0 changes committed)	2026-03-13T01:17:38Z
Q4.4	HEALTHY	risks_found=1 fixed=1 committed=1 tests_written=3	2026-03-13T01:23:19Z
Q4.5	HEALTHY	risks_found=2 fixed=1 committed=1 tests_written=2	2026-03-13T01:25:33Z
Q4.6	HEALTHY	coverage 90% -> 100% (2 tests written)	2026-03-13T01:22:53Z
Q5.1	HEALTHY	28 passed, 0 failed	2026-03-13T01:44:39Z
Q5.2	HEALTHY	3 passed, 0 failed	2026-03-13T01:44:44Z
Q5.3	HEALTHY	All 4 workers have structured logging on every exception path — no silent swallows	2026-03-13T01:44:54Z
Q5.4	HEALTHY	embed_batch item failures already logged (embed_batch_item_failed) + TestEmbedBatchSecurityQ54 proves contract	2026-03-13T01:44:57Z
Q5.6	HEALTHY	already_remediated — fix committed in prior session; 7 tests pass	2026-03-13T01:50:49Z
Q5.7	HEALTHY	17 tests written for DecayWorker (test_decay.py), all passing — committed 12561ec	2026-03-13T02:00:49Z
Q6.1	HEALTHY	risks_found=1 fixed=1 committed=01260e1 — empty-embedding guard added to signals.py batch path	2026-03-13T02:57:44Z
Q6.2	HEALTHY	Checked 1 files — all consistently use structlog; no stdlib/structlog mixing detected	2026-03-13T03:18:29Z
Q6.3	HEALTHY	55 passed, 0 failed	2026-03-13T03:03:50Z
Q6.4	WARNING	_speculative_seeds, _embed_cache, _tuning_cache written from async paths without asyncio.Lock (fixed by Q7.1)	2026-03-13T03:18:30Z
Q6.5	WARNING	mypy errors 0 → 0 (0 changes committed)	2026-03-13T03:18:51Z
Q6.6	HEALTHY	17 passed, 0 failed	2026-03-13T02:52:05Z
Q6.7	HEALTHY	44 utcnow() calls replaced across 23 files; 0 remaining; committed 9cec9f4	2026-03-13T03:23:33Z
Q7.4	HEALTHY	Checked 77 files — all consistently use structlog; no stdlib/structlog mixing detected	2026-03-13T04:06:37Z
Q7.5	HEALTHY	No datetime.utcnow() calls found in 204 files	2026-03-13T04:06:38Z
Q7.6	HEALTHY	28 passed, 0 failed — test_hygiene.py (9 tests) + test_dream_consolidation.py (19 tests); committed 3c6c8bf	2026-03-13T04:06:39Z
Q7.1	HEALTHY	risks_found=3 fixed=3 committed=1 tests_written=9	2026-03-13T04:11:33Z
Q7.2	HEALTHY	0 PydanticDeprecatedSince20 warnings; Memory.Config → ConfigDict + @field_serializer; committed 033ede9	2026-03-13T04:15:00Z
Q7.3	WARNING	test written + marked @pytest.mark.integration; skips when Qdrant unreachable (network boundary); committed 3b15c23	2026-03-13T04:22:00Z
Q13.1	FAILURE	Coverage 8.9% (1,832/20,560 injected); 19,457 of 20,560 memories (94.6%) have access_count=0; 5/20 sampled never-retrieved memories are genuinely high-value; root cause: greedy top-K, no exploration mechanism	2026-03-15T01:17:34Z
Q13.2	WARNING	fact_extraction empty rate 42.2% (worse than 30.2% hypothesis); 89% of calls <200 chars; metadata.file_ext NULL prevents file-type classification; 2,006 empty calls take >10s each (~560 min wasted GPU); pre-filter on input_chars<100 + file-ext recommended	2026-03-15T02:14:00Z
Q13.3	FAILURE	p95=14,055ms; 22% slow rate uniformly distributed (22.0% cold-start vs 22.7% mid-session); cold-start ruled out; sustained Ollama request queuing confirmed as primary cause; p99=20,207ms; concurrency limiter fix recommended	2026-03-15T02:45:00Z
Q13.4	WARNING	0/20 superseded session summaries have unique facts lost; but 65% of "summaries" are raw noise (task-notification XML, fragments); importance inversion in 3/20 cases (e.g. imp=0.87 absorbed by imp=0.597); supersedure content-correct but degrades retrievability	2026-03-15T03:22:00Z
Q13.5	FAILURE	60% top-5 hit rate threshold breached at N~1850 memories; current state 5.4% at 20,560 (11x below threshold); model shows 1.1% at 100K; design-level failure: K=3 fixed against growing corpus with no retirement or exploration mechanism	2026-03-15T03:58:00Z
Q13.6	WARNING	70% hit rate (7/10) — 1 vocabulary mismatch (Claude hooks: abstract API terms miss concrete impl vocabulary), 2 coverage gaps (FamilyHub/Sadie, Relay AI have no stored memories); mean top-1 sim=0.577; alt phrasings recover the vocabulary miss	2026-03-15T04:28:00Z
Q13.7	WARNING	type_cv=0.6539 after retrain (n=1,209 samples, 2026-03-14T22:04); binary_cv=0.943 HEALTHY; type_cv in WARNING zone (0.65–0.75); class imbalance bottleneck: contradiction=44, decision=54, warning=54 samples vs fact=150; 0.75 target not reached	2026-03-15T05:10:00Z
Q13.8	FAILURE	Session Markov Chain: 4,008 visits + 2,269 transition pairs accumulated but 0 predictions + 0 cache hits ever; root cause: build_prefetch_cache searches tags for "file:{name}" but no memory storage path writes file: tags; source_file stored in metadata only; scroll_all() O(N) scan runs silently on every file visit	2026-03-15T05:45:00Z
Q13.5a	FAILURE	Testbed retirement inapplicable: sim persona memories (2,624) already bulk-deleted by 2026-02-25; zero sim_ memories in corpus; all 20,602 memories are real user data; only 18 qualify for retirement (access_count=0 AND importance<0.05); coverage crisis is purely structural	2026-03-15T06:10:00Z
Q13.8a	FAILURE	Markov transition sparsity: 0% of 960 source files have ≥5 transitions to any successor; top counts [4,4,3,3,2,...]; 91% of files have max_transition=1 (noise level); model cannot produce confident predictions even after Q13.8 tag fix; feature needs months of learning before production value	2026-03-15T06:15:00Z
Q13.6a	WARNING	recall-retrieve.js query uses user message text + session topics + domain_hint only; tool_name/current_file/event_type absent from query; domain_hint (from CWD) is only structural context; vocabulary miss on abstract API terms ("UserPromptSubmit") is structural limitation of UserPromptSubmit hook event timing	2026-03-15T06:30:00Z
Q13.8b	FAILURE	build_prefetch_cache scroll_all() is structural (not a side-effect of tag bug); after Q13.8 tag fix, O(20,602) scan would run to completion on every matching file visit; targeted Qdrant must:[tags.match.any] filter required; tags field already indexed; fix order: targeted filter FIRST, then tag storage fix	2026-03-15T06:35:00Z
Q13.4a	WARNING	semantic_dedup_threshold=0.90 (WARNING zone 0.85–0.92; was 0.95 in v2.x); admin batch scan uses 0.60<sim<0.92 with LLM gate; store-time auto-dedup fires without LLM at sim>0.90; v3.0 reduction from 0.95 is proximate cause of 14996103→de31f553 false-positive; raise to 0.92 + exempt session summaries from auto-dedup	2026-03-15T06:40:00Z
Q13.7a	FAILURE	/admin/ml/signal-classifier-status exposes no per-class precision/recall/F1; aggregate type_cv=0.6539 only; per-class diagnostics not stored after cross-validation; confirmed 8-class on 583 signal samples (not 9-class on 1,209); contradiction=44 samples=7.6% of training data; merge deferred to n=2,000 signal samples	2026-03-15T07:00:00Z
Q13.1a	HEALTHY	0.40–0.45 similarity band is empty in practice for qwen3-embedding:0.6b; 50 results across 5 representative queries scored ≥0.54; injection_log p25=0.569 confirms no near-misses in 0.40–0.45 band; lowering MIN_SIMILARITY would add noise without surfacing useful content; current threshold correctly calibrated	2026-03-15T07:05:00Z
Q13.1b	FAILURE	5,168 memories with importance≥0.6 and access_count=0; 20-sample audit: 7/20=35% genuinely high-value (exceeds ≥30% FAILURE threshold); ~25% sim-persona residue (missed by 2026-02-25 bulk delete); coverage gap is burying active-project knowledge including Recall internals, homelab infrastructure, API patterns	2026-03-15T07:20:00Z
Q13.3a	INCONCLUSIVE	asyncio.Semaphore(1) prerequisite not implemented; no A/B data collected; code inspection: NO semaphore in OllamaLLM.generate() — all callers share raw httpx client; system-wide p95~13-20s across all prompt types proves endpoint-level limiter insufficient; global OllamaLLM semaphore required; predicted: global semaphore→HEALTHY, endpoint-only→WARNING	2026-03-15T07:35:00Z
Q13.2a	INCONCLUSIVE	prerequisite not met: file_ext not captured in prompt_metrics.metadata; fact_extractor.py log_prompt_metric call has no metadata parameter; file_path not threaded to extract_facts_for_memory(); no JOIN path from prompt_metrics to memory.source_file; proxy analysis via input_chars distribution available but not executed; ~20 lines to instrument	2026-03-15T07:45:00Z
Q14.1	HEALTHY	0 sim-persona named entities found in full non-superseded corpus (5,831 memories); all 23 regex hits were false positives (case-insensitive "as" matching common phrases); 295 high-importance never-retrieved memories are all genuine content; corpus shrunk from 20,602→5,831 (likely superseded pop excluded); cleanup not needed	2026-03-15T08:00:00Z
Q14.2	HEALTHY	90% of 30 sampled high-importance never-retrieved memories are relevant (>20% token overlap with recent session activity); 0% noise; exploration injection safe to deploy; every 10th retrieval call could inject 2 buried memories without degrading context quality; "Carol" simulation artifacts noted (~5–10 memories)	2026-03-15T08:15:00Z
Q14.7	FAILURE	Coverage rate 9.50% (554/5,831) — unchanged from Q13.1's 8.9%; sim-persona cleanup not needed (Q14.1 confirmed zero residue); 295 high-importance never-retrieved memories all genuine; structural retrieval problem confirmed; only exploration injection (Q14.2) or K-scaling can improve coverage	2026-03-15T08:20:00Z
Q14.3	FAILURE	Store-time dedup silently drops incoming write — no content merge, no audit_log entry, no Neo4j SUPERSEDES edge; 100% of audit supersede entries are actor=consolidation; store-time drops are completely unrecoverable; same defect in signals.py and observer.py; two-tier fix: audit preservation then content merge	2026-03-15T08:30:00Z
Q14.5	FAILURE	input_chars cannot proxy file-type split; 96.2% of empty extractions AND 95.2% of successful extractions fall below 300 chars; median successful=90 chars; empty rate non-monotonic (51% for <100, 23.7% for 100-300); no separation threshold viable; do not implement input_chars pre-filter	2026-03-15T08:35:00Z
Q14.8	WARNING	3.7% (3/81) consecutive session-summary pairs exceed 0.90 threshold (meets HEALTHY rate but all 3 contain unique irreplaceable facts — different projects, different sessions); 5 pairs in near-miss zone (0.85-0.89); 46.7% supersedure rate from Q13.4 unexplained — likely cross-type dedup against boilerplate; recommend session-summary tag exemption	2026-03-15T08:40:00Z
Q14.6	INCONCLUSIVE	cross_val_score(scoring="accuracy") used — aggregate only; cross_val_predict never called; classification_report never imported; no per-class precision/recall/F1 anywhere in training pipeline; retrain returns type_cv_score+class_distribution only; ~15-line change needed to expose contradiction confusion matrix	2026-03-15T08:50:00Z
Q14.9	INCONCLUSIVE	scroll_all() O(N=5831) confirmed at markov_chain.py:114; tags IS indexed as keyword (qdrant.py:165); targeted MatchAny filter predicted ~5-8ms (40-60x speedup); prerequisite not deployed; zero cache hits expected until Q13.8 tag storage fix also co-deployed; analytical prediction HEALTHY	2026-03-15T08:55:00Z
Q14.4	FAILURE	Semaphore(1) deployed (a03cd2b, 2026-03-14 22:54); post-deploy p95: fact_extraction=16,843ms observer=11,313ms observer_high_value=17,725ms — all exceed 10,000ms HEALTHY threshold; root cause is qwen3:14b inference time variance (p50=1s but p95=11-17s), not concurrency; Semaphore serializes but cannot compress individual long inference calls; signal_detection p95=8,356ms (n=5, all-time) exceeds 3,000ms HEALTHY threshold	2026-03-15T03:10:00Z
Q14.4b	HEALTHY	Threshold confirmed at ~4,000 chars: p75 jumps from 7,134ms to 14,238ms and p95 from 15,536ms to 37,040ms at that boundary; 219 requests (0.6%) exceed 4,000 chars; truncation preserves 99.4% of content; short-input p95=13,969ms is queuing artifact from Semaphore(1) blocking on long consolidation/observer requests; truncation reduces max hold time from 93s to ~15s; combined with Q14.4a priority routing required for full p95 fix	2026-03-15T03:25:00Z
Q14.4a	INCONCLUSIVE	Priority queue structurally feasible (~25 lines); signal_detection volume too low for measurement (n=5 all-time, 0.23 calls/day; need n=100+ for reliable p95 = 435 days); analytical prediction HEALTHY (p95 ~2-4s inference-only, no queue wait); signal_detection_timeout=180s is named for one type but applies to ALL LLM calls — should be reduced to 15s	2026-03-15T03:40:00Z
Q15.3	FAILURE	signal_detection_timeout=180s is global — single httpx.AsyncClient, no per-caller override in config or generate() signature; 43 production events with latency_ms>60,000ms (consolidation=16, fact_extraction=27); max observed semaphore holds: consolidation=248s, fact_extraction=229s; 180s ceiling applies to all 8 prompt types; timeout named for lowest-volume type (signal_detection n=5, max=8.5s) but governs highest-volume types	2026-03-14T00:00:00Z
Q15.4	FAILURE	No sub-bucket below 50 chars achieves ≥70% empty rate; 25-49 bucket: 50.0% empty (n=4,951, 21.7% of total); 45-49 sub-bucket is closest at 61.2%; 30-44 chars are worse than overall average (34-42% empty); input_chars is not a reliable proxy for content type; length-based pre-filter unjustified — would discard 50% legitimate calls; metadata null — no content characterization possible without instrumentation	2026-03-14T00:00:00Z
Q15.1	INCONCLUSIVE	Store-time dedup drop path fires silently in 3 code locations; 0 audit entries, 0 metrics counter — hit rate unquantifiable; threshold was raised 0.90->0.92 confirming observed false dedup	2026-03-15T04:10:00Z
Q15.2	WARNING	observer.py semantic dedup: zero log call before continue (invisible drop); signals.py: DEBUG log present (recoverable); Docker json-file driver persists 30MB (3x10m); no structlog.configure() — stdout only; no file sink or log aggregator	2026-03-14T00:00:00Z
Q15.5	HEALTHY	67% (14/21) fast-fail empties are single-line membench telemetry/session blobs (newline density <0.2%); all Qdrant samples >=1000 chars confirmed single-line; hypothesis of minified JS/lock files NOT confirmed — actual source is membench synthetic logs + session summaries; newline-density pre-filter in fact_extractor.py would eliminate fast-fail waste without file_ext; 7 slow-fail rows (7-14s) are the real semaphore risk from Q14.4b	2026-03-15T05:00:00Z
Q16.1	INCONCLUSIVE	recall_dedup_hits_total absent from /metrics; prerequisite counter instrumentation not deployed; 6 metrics families present, none dedup-related	2026-03-14T23:30:00Z
Q16.2	INCONCLUSIVE	observer.py bare continue at line 176 unchanged; logger.debug fix not deployed; observer semantic dedup remains fully invisible	2026-03-14T23:31:00Z
Q16.3	FAILURE	generate() has no timeout parameter; httpx.AsyncClient baked with 180s global timeout; 43 production events >60s persist; per-caller timeout not implemented	2026-03-14T23:32:00Z
Q16.4	FAILURE	9-cell matrix 2/12 covered; memory.py 0/3, signals.py 2/3 (DEBUG structlog only), observer.py 0/3; compound gap from Q14.3+Q15.1+Q15.2 persists	2026-03-14T23:33:00Z
Q16.5	INCONCLUSIVE	file_extension absent from prompt_metrics schema; metadata null for all rows; prerequisite instrumentation not deployed; content-type filter blocked	2026-03-14T23:34:00Z
Q16.3b	HEALTHY	httpx per-request timeout correctly overrides AsyncClient-level default; client.post(..., timeout=N) wins over constructor timeout; Q16.3 fix approach is architecturally sound	2026-03-14T23:35:00Z
Q16.3a	INCONCLUSIVE	Blocked on prerequisite: generate() timeout parameter not deployed; post-deploy p99 measurement not possible	2026-03-14T23:40:00Z
Q16.4a	INCONCLUSIVE	Blocked on prerequisite: recall_dedup_hits_total counter not deployed; dedup drop volume not measurable	2026-03-14T23:40:00Z
Q16.4b	FAILURE	except:pass at memory.py:258 swallows all importance-inheritance failures silently; qdrant.update_importance() has no internal error handling; path never confirmed in production	2026-03-14T23:41:00Z
Q18.1	WARNING	asyncio.gather() no return_exceptions=True; gather failure logged at ERROR by outer handler; partial Qdrant writes untracked; _log_decay_audit skipped on failure	2026-03-14T23:55:00Z
Q18.2	WARNING	_track_access() fire-and-forget task; bare awaits at lines 1542-1555; asyncio "task exception never retrieved" logged at ERROR; per-memory partial writes and early loop termination untracked	2026-03-14T23:56:00Z
Q19.1	HEALTHY	decay.py:184 is the sole unguarded write-gather; consolidation.py has zero gather calls; contradiction_backfill.py correctly uses return_exceptions=True; all 13 other gathers are read-only	2026-03-14T00:30:00Z
Q19.2	HEALTHY	_store_retrieval_context has full method try/except; writes Redis-only (ephemeral TTL=2h); _emit_retrieval_activity also guarded; only _track_access carries Q18.2 bare-await pattern	2026-03-14T00:45:00Z
